"Currency","Year","Quarter","market","duration","method","purpose","visits","spend","nights","StandardRate","SpendPerVisit"
"AED",2006,"Q3","United Arab Emirates","8-14 nights","Air","Holiday",5930.115059,10358764,61.15577608,-1.200203214794,1746.80657912004
"AED",2006,"Q3","United Arab Emirates","1-3  nights","Air","VFR",605.394006,32880.802,1.210788012,-1.200203214794,54.3130616988633
"AED",2006,"Q3","United Arab Emirates","4-7  nights","Air","Holiday",1625.579,1589574.542,9.687649965,-1.200203214794,977.851302212935
"AED",2006,"Q3","United Arab Emirates","4-7  nights","Tunnel","VFR",623.61598,362430.99,1.301460028,-1.200203214794,581.176559972052
"AED",2006,"Q3","United Arab Emirates","4-7  nights","Air","Miscellaneous",1323.760033,1024590.015,9.266280174,-1.200203214794,773.999810734579
"AED",2006,"Q3","United Arab Emirates","15+  nights","Air","Business",368.580014,1184620.023,6.634439945,-1.200203214794,3214.01046720889
"AED",2006,"Q3","United Arab Emirates","1-3  nights","Air","Miscellaneous",3474.81899,244664.686,3.767738983,-1.200203214794,70.4107715262601
"AED",2006,"Q4","United Arab Emirates","15+  nights","Air","Miscellaneous",257.454008,2302150.011,8.753439903,-1.36341988066492,8941.98551766186
"AED",2006,"Q4","United Arab Emirates","15+  nights","Air","Business",293.50099,1194669.962,5.885960102,-1.36341988066492,4070.41203506673
"AED",2006,"Q4","United Arab Emirates","8-14 nights","Air","Holiday",265.03399,178133.994,2.087869883,-1.36341988066492,672.117542357491
"AED",2006,"Q4","United Arab Emirates","1-3  nights","Air","Business",5135.078907,3374075.025,6.084944963,-1.36341988066492,657.063910040516
"AED",2006,"Q4","United Arab Emirates","8-14 nights","Air","VFR",1135.977,1428169.966,11.90639019,-1.36341988066492,1257.2173257029
"AED",2006,"Q4","United Arab Emirates","1-3  nights","Air","Miscellaneous",1532.527,2001124.36,2.68530795,-1.36341988066492,1305.76776787619
"AED",2006,"Q4","United Arab Emirates","4-7  nights","Air","Business",974.822968,1287415.013,3.350003958,-1.36341988066492,1320.66544927776
"AED",2006,"Q4","United Arab Emirates","15+  nights","Air","Holiday",993.97701,3669460.058,28.34549904,-1.36341988066492,3691.69510067441
"AED",2006,"Q4","United Arab Emirates","4-7  nights","Air","Holiday",2475.807011,1956095.964,11.11123621,-1.36341988066492,790.084184796744
"AED",2006,"Q4","United Arab Emirates","15+  nights","Air","VFR",1127.882987,620700.002,47.11953926,-1.36341988066492,550.323046942103
"AED",2006,"Q4","United Arab Emirates","1-3  nights","Air","Holiday",1512.310952,907251.194,3.500369072,-1.36341988066492,599.910483224484
"AED",2006,"Q4","United Arab Emirates","1-3  nights","Air","VFR",279.743999,189229.995,0.880935013,-1.36341988066492,676.439872442089
"AED",2006,"Q4","United Arab Emirates","4-7  nights","Tunnel","Holiday",653.316021,493474.99,2.613260031,-1.36341988066492,755.338877569023
"AED",2006,"Q4","United Arab Emirates","4-7  nights","Air","Miscellaneous",270.08599,314379.99,1.080340028,-1.36341988066492,1163.99962100959
"AED",2006,"Q4","United Arab Emirates","4-7  nights","Air","VFR",1705.232918,1023611.68,10.72351003,-1.36341988066492,600.276753512683
"AED",2006,"Q4","United Arab Emirates","8-14 nights","Air","Business",1493.824989,1133064.322,8.326440096,-1.36341988066492,758.498706571041
"AED",2007,"Q1","United Arab Emirates","1-3  nights","Air","Miscellaneous",2212.51297,229984.296,2.421895027,-1.51238817753309,103.947095053639
"AED",2007,"Q1","United Arab Emirates","8-14 nights","Air","Business",1685.80097,1443175.586,14.0380441,-1.51238817753309,856.077088388435
"AED",2007,"Q1","United Arab Emirates","4-7  nights","Air","Business",2425.632924,2433880.88,10.64166307,-1.51238817753309,1003.40033148396
"AED",2007,"Q1","United Arab Emirates","4-7  nights","Air","Holiday",1252.712965,1460301.148,6.332410097,-1.51238817753309,1165.71089211965
"AED",2007,"Q1","United Arab Emirates","1-3  nights","Air","VFR",710.135996,293275.2,2.148210049,-1.51238817753309,412.984557397369
"AED",2007,"Q1","United Arab Emirates","8-14 nights","Tunnel","Miscellaneous",517.051995,1262410.045,5.679369926,-1.51238817753309,2441.55337801182
"AED",2007,"Q1","United Arab Emirates","1-3  nights","Air","Holiday",1299.996018,562832.389,3.670535028,-1.51238817753309,432.949317695525
"AED",2007,"Q1","United Arab Emirates","15+  nights","Air","Business",296.952993,293325.007,17.70179939,-1.51238817753309,987.782625245337
"AED",2007,"Q1","United Arab Emirates","8-14 nights","Air","Miscellaneous",438.057005,0,3.808990002,-1.51238817753309,0
"AED",2007,"Q1","United Arab Emirates","8-14 nights","Air","Holiday",1615.040988,1038376.004,11.6344099,-1.51238817753309,642.940960455674
"AED",2007,"Q1","United Arab Emirates","15+  nights","Air","Miscellaneous",404.134989,1767869.949,48.14239883,-1.51238817753309,4374.45407380948
"AED",2007,"Q1","United Arab Emirates","8-14 nights","Air","VFR",1190.162987,1121380.009,11.7365877,-1.51238817753309,942.20709369111
"AED",2007,"Q1","United Arab Emirates","1-3  nights","Air","Business",2333.685994,1492144.033,4.221389174,-1.51238817753309,639.393661716427
"AED",2007,"Q1","United Arab Emirates","4-7  nights","Air","VFR",1894.529969,2447946.56,11.6940679,-1.51238817753309,1292.11287235119
"AED",2007,"Q1","United Arab Emirates","4-7  nights","Air","Miscellaneous",757.512987,2557178.21,3.952040076,-1.51238817753309,3375.7549426674
"AED",2007,"Q1","United Arab Emirates","15+  nights","Air","VFR",1944.476992,743413.135,37.51879978,-1.51238817753309,382.320355580736
"AED",2007,"Q2","United Arab Emirates","15+  nights","Air","Miscellaneous",358.20201,5014.83,13.25349998,-1.6289689722915,14.0000051926007
"AED",2007,"Q2","United Arab Emirates","4-7  nights","Air","Miscellaneous",279.834986,423669.994,1.119339943,-1.6289689722915,1513.99937533186
"AED",2007,"Q2","United Arab Emirates","1-3  nights","Air","Business",4913.918018,5359743.088,9.405544043,-1.6289689722915,1090.72700610122
"AED",2007,"Q2","United Arab Emirates","15+  nights","Air","VFR",499.915987,623375.997,24.74820042,-1.6289689722915,1246.96151595568
"AED",2007,"Q2","United Arab Emirates","4-7  nights","Air","Holiday",2442.281052,2808592.401,9.266657293,-1.6289689722915,1149.98738523563
"AED",2007,"Q2","United Arab Emirates","1-3  nights","Air","Holiday",609.800994,212207.701,1.576332033,-1.6289689722915,347.995006711977
"AED",2007,"Q2","United Arab Emirates","4-7  nights","Air","VFR",836.158007,426053.308,4.807849884,-1.6289689722915,509.53683924957
"AED",2007,"Q2","United Arab Emirates","8-14 nights","Air","Business",486.923993,983295.977,6.146150112,-1.6289689722915,2019.40342052522
"AED",2007,"Q2","United Arab Emirates","1-3  nights","Air","VFR",265.421003,110022.001,0.577315986,-1.6289689722915,414.518820125173
"AED",2007,"Q2","United Arab Emirates","8-14 nights","Air","Holiday",1585.693046,2191516.027,13.34187007,-1.6289689722915,1382.05564597021
"AED",2007,"Q2","United Arab Emirates","4-7  nights","Air","Business",2638.704047,3406199.008,10.91311026,-1.6289689722915,1290.86056917697
"AED",2007,"Q2","United Arab Emirates","8-14 nights","Air","Miscellaneous",709.353,178463.198,5.03914988,-1.6289689722915,251.585878962942
"AED",2007,"Q2","United Arab Emirates","15+  nights","Air","Study",265.074015,3053920.031,34.19449997,-1.6289689722915,11521.0086926099
"AED",2007,"Q2","United Arab Emirates","8-14 nights","Air","VFR",1319.061995,407408.52,9.399524897,-1.6289689722915,308.862298773152
"AED",2007,"Q2","United Arab Emirates","1-3  nights","Air","Miscellaneous",1480.513021,341313.206,1.986665025,-1.6289689722915,230.537118660032
"AED",2007,"Q3","United Arab Emirates","1-3  nights","Air","Business",1787.501991,1409278.781,4.657484949,-1.75814589376176,788.406831486433
"AED",2007,"Q3","United Arab Emirates","4-7  nights","Air","Miscellaneous",1501.373947,1533748.001,17.24208975,-1.75814589376176,1021.56295176474
"AED",2007,"Q3","United Arab Emirates","15+  nights","Air","Holiday",4899.767041,6766728.073,99.51519203,-1.75814589376176,1381.03057071443
"AED",2007,"Q3","United Arab Emirates","15+  nights","Air","Business",410.172999,5742.42,12.30519962,-1.75814589376176,13.9999951581406
"AED",2007,"Q3","United Arab Emirates","8-14 nights","Air","Holiday",3707.222044,4872410.461,42.35931039,-1.75814589376176,1314.30230052872
"AED",2007,"Q3","United Arab Emirates","4-7  nights","Air","VFR",1972.937018,732564.911,6.499188036,-1.75814589376176,371.306789986947
"AED",2007,"Q3","United Arab Emirates","8-14 nights","Air","VFR",3071.472049,2309898.958,31.98408914,-1.75814589376176,752.049480232792
"AED",2007,"Q3","United Arab Emirates","1-3  nights","Air","VFR",1049.299985,2019938.497,1.721138,-1.75814589376176,1925.03433324646
"AED",2007,"Q3","United Arab Emirates","8-14 nights","Air","Business",709.827989,3928560.019,5.678619862,-1.75814589376176,5534.52396901751
"AED",2007,"Q3","United Arab Emirates","4-7  nights","Air","Business",1418.802977,1229115.993,6.044690132,-1.75814589376176,866.304915428719
"AED",2007,"Q3","United Arab Emirates","15+  nights","Air","VFR",5107.825011,5324332.396,127.3797092,-1.75814589376176,1042.38739278142
"AED",2007,"Q3","United Arab Emirates","1-3  nights","Air","Holiday",3124.305069,2399567.023,7.388670921,-1.75814589376176,768.032240772196
"AED",2007,"Q3","United Arab Emirates","8-14 nights","Air","Miscellaneous",600.416005,545350.015,9.193739891,-1.75814589376176,908.286938486925
"AED",2007,"Q3","United Arab Emirates","1-3  nights","Tunnel","VFR",583.929002,291965.008,0.583929002,-1.75814589376176,500.000868256241
"AED",2007,"Q3","United Arab Emirates","1-3  nights","Air","Miscellaneous",866.670012,153380.804,1.658838034,-1.75814589376176,176.977167637364
"AED",2007,"Q3","United Arab Emirates","4-7  nights","Air","Holiday",3553.973973,2992467.031,23.00520968,-1.75814589376176,842.005893609283
"AED",2007,"Q3","United Arab Emirates","15+  nights","Tunnel","VFR",583.929002,729327.023,17.51790047,-1.75814589376176,1248.99948538607
"AED",2007,"Q4","United Arab Emirates","1-3  nights","Air","Holiday",3449.471951,5106222.093,8.057424009,-1.8305780638669,1480.29094468204
"AED",2007,"Q4","United Arab Emirates","8-14 nights","Air","Business",325.502992,163663,0.651005983,-1.8305780638669,502.800293768114
"AED",2007,"Q4","United Arab Emirates","4-7  nights","Air","VFR",1330.325007,650394.38,6.786558986,-1.8305780638669,488.898860487255
"AED",2007,"Q4","United Arab Emirates","15+  nights","Air","VFR",1043.778002,1524249.498,23.70546007,-1.8305780638669,1460.31962263945
"AED",2007,"Q4","United Arab Emirates","1-3  nights","Air","Miscellaneous",1436.368972,551442.999,2.146122009,-1.8305780638669,383.914585840831
"AED",2007,"Q4","United Arab Emirates","1-3  nights","Air","Business",3948.071003,2284980.223,7.4334791,-1.8305780638669,578.758644731496
"AED",2007,"Q4","United Arab Emirates","15+  nights","Air","Business",325.502992,6514619.827,4.882540226,-1.8305780638669,20014.00904788
"AED",2007,"Q4","United Arab Emirates","4-7  nights","Air","Holiday",3055.688977,4982608.035,18.80775011,-1.8305780638669,1630.60052004763
"AED",2007,"Q4","United Arab Emirates","1-3  nights","Tunnel","Miscellaneous",522.26299,100183.003,0.522487998,-1.8305780638669,191.824817990645
"AED",2007,"Q4","United Arab Emirates","8-14 nights","Air","Holiday",459.690005,462698.996,3.677520037,-1.8305780638669,1006.54569594133
"AED",2007,"Q4","United Arab Emirates","4-7  nights","Air","Business",974.676013,1963000.059,5.848060131,-1.8305780638669,2014.00263556091
"AED",2008,"Q1","United Arab Emirates","15+  nights","Air","VFR",1381.332994,835456.312,11.12416571,-1.59837584084165,604.818907264876
"AED",2008,"Q1","United Arab Emirates","1-3  nights","Air","Holiday",731.359988,388378.009,2.374709964,-1.59837584084165,531.035352456279
"AED",2008,"Q1","United Arab Emirates","1-3  nights","Air","VFR",1148.016989,287613.198,2.913608968,-1.59837584084165,250.53043705436
"AED",2008,"Q1","United Arab Emirates","8-14 nights","Air","Miscellaneous",555.480003,2648679.972,27.27440071,-1.59837584084165,4768.27240889894
"AED",2008,"Q1","United Arab Emirates","1-3  nights","Air","Business",4934.386075,8821125.165,13.42527705,-1.59837584084165,1787.68443144166
"AED",2008,"Q1","United Arab Emirates","4-7  nights","Air","Holiday",1001.753986,492076.211,5.429033935,-1.59837584084165,491.214627420509
"AED",2008,"Q1","United Arab Emirates","4-7  nights","Air","Business",2804.262996,4715590.961,11.09259301,-1.59837584084165,1681.57942665375
"AED",2008,"Q1","United Arab Emirates","4-7  nights","Air","VFR",588.108003,97845.402,3.050010085,-1.59837584084165,166.373185708884
"AED",2008,"Q1","United Arab Emirates","8-14 nights","Air","Holiday",415.897012,92202,3.601089954,-1.59837584084165,221.694307339722
"AED",2008,"Q1","United Arab Emirates","8-14 nights","Air","VFR",2772.770047,2824171.156,23.02349675,-1.59837584084165,1018.53781890626
"AED",2008,"Q1","United Arab Emirates","1-3  nights","Air","Miscellaneous",1558.196008,1154499.024,12.1943804,-1.59837584084165,740.920280935542
"AED",2008,"Q1","United Arab Emirates","8-14 nights","Air","Business",451.222986,5948569.775,4.656449795,-1.59837584084165,13183.2153049934
"AED",2008,"Q2","United Arab Emirates","4-7  nights","Air","VFR",2293.636024,1599945.977,12.15470988,-1.57961489611979,697.558793225511
"AED",2008,"Q2","United Arab Emirates","1-3  nights","Air","Business",4533.50009,3744781.092,9.426251009,-1.57961489611979,826.024267708794
"AED",2008,"Q2","United Arab Emirates","8-14 nights","Air","Business",2072.279036,5771890.044,19.82755041,-1.57961489611979,2785.28612398702
"AED",2008,"Q2","United Arab Emirates","15+  nights","Air","VFR",726.659983,1423000.962,35.23475933,-1.57961489611979,1958.27621623689
"AED",2008,"Q2","United Arab Emirates","15+  nights","Air","Miscellaneous",377.364993,1137760.043,12.83040047,-1.57961489611979,3015.0121609187
"AED",2008,"Q2","United Arab Emirates","4-7  nights","Air","Holiday",2447.222024,2350525.051,12.85135478,-1.57961489611979,960.487045289847
"AED",2008,"Q2","United Arab Emirates","1-3  nights","Air","VFR",3057.781994,774182.098,4.998299956,-1.57961489611979,253.184203294776
"AED",2008,"Q2","United Arab Emirates","8-14 nights","Air","VFR",377.364993,213470.995,1.132089972,-1.57961489611979,565.688389118807
"AED",2008,"Q2","United Arab Emirates","4-7  nights","Air","Business",3582.153052,3024877.01,13.08345678,-1.57961489611979,844.429862736083
"AED",2008,"Q2","United Arab Emirates","8-14 nights","Tunnel","Holiday",581.597984,491775.006,5.232150078,-1.57961489611979,845.5583057867
"AED",2008,"Q2","United Arab Emirates","1-3  nights","Tunnel","Holiday",3280.490041,34234.8,3.279089928,-1.57961489611979,10.4358798753018
"AED",2008,"Q2","United Arab Emirates","1-3  nights","Air","Holiday",1202.982008,346485.004,3.766390085,-1.57961489611979,288.021767321395
"AED",2008,"Q2","United Arab Emirates","8-14 nights","Air","Holiday",526.555002,1069959.998,6.845210075,-1.57961489611979,2032.00044427647
"AED",2008,"Q2","United Arab Emirates","4-7  nights","Air","Miscellaneous",355.407,87963.201,0.710813999,-1.57961489611979,247.499911369219
"AED",2008,"Q2","United Arab Emirates","1-3  nights","Air","Miscellaneous",1521.062016,117744.098,1.521062016,-1.57961489611979,77.4091370118074
"AED",2008,"Q3","United Arab Emirates","8-14 nights","Tunnel","Holiday",591.755986,277464.002,5.923250198,-1.25232879416325,468.882459264214
"AED",2008,"Q3","United Arab Emirates","8-14 nights","Air","Business",392.886996,1184550.047,3.143100023,-1.25232879416325,3014.98919297395
"AED",2008,"Q3","United Arab Emirates","8-14 nights","Air","Holiday",6217.871964,41194799.89,49.20557916,-1.25232879416325,6625.22485643128
"AED",2008,"Q3","United Arab Emirates","1-3  nights","Air","Miscellaneous",3012.075126,1218077.268,3.886763036,-1.25232879416325,404.398036916693
"AED",2008,"Q3","United Arab Emirates","4-7  nights","Air","VFR",2343.902022,1386050.045,13.87704992,-1.25232879416325,591.342996418133
"AED",2008,"Q3","United Arab Emirates","15+  nights","Air","VFR",7695.347905,8988819.748,151.283792,-1.25232879416325,1168.08490778689
"AED",2008,"Q3","United Arab Emirates","1-3  nights","Air","Holiday",2704.238951,3331108.093,8.112709999,-1.25232879416325,1231.80981908725
"AED",2008,"Q3","United Arab Emirates","15+  nights","Air","Miscellaneous",616.571009,442052.99,8.777729988,-1.25232879416325,716.953900763115
"AED",2008,"Q3","United Arab Emirates","1-3  nights","Air","VFR",5297.638983,2517485.913,10.89178303,-1.25232879416325,475.209035775853
"AED",2008,"Q3","United Arab Emirates","1-3  nights","Air","Business",5032.008052,5805040.181,9.072815031,-1.25232879416325,1153.62299126146
"AED",2008,"Q3","United Arab Emirates","4-7  nights","Air","Holiday",5985.691041,8358375.356,35.00208768,-1.25232879416325,1396.39271368133
"AED",2008,"Q3","United Arab Emirates","4-7  nights","Air","Business",3006.617069,3198235.959,9.12420392,-1.25232879416325,1063.73238946047
"AED",2008,"Q3","United Arab Emirates","8-14 nights","Air","VFR",3183.786124,565712.951,22.69260642,-1.25232879416325,177.685601031912
"AED",2008,"Q3","United Arab Emirates","15+  nights","Air","Holiday",4868.577957,9629237.313,96.89191949,-1.25232879416325,1977.83365041021
"AED",2008,"Q4","United Arab Emirates","15+  nights","Air","Miscellaneous",848.276019,455849.61,19.28248978,0.340965755595987,537.383587169402
"AED",2008,"Q4","United Arab Emirates","1-3  nights","Air","Business",6307.136029,4087139.808,10.28983587,0.340965755595987,648.018338150227
"AED",2008,"Q4","United Arab Emirates","15+  nights","Air","Business",334.443986,2281610.012,6.858459949,0.340965755595987,6822.09908836573
"AED",2008,"Q4","United Arab Emirates","4-7  nights","Air","Miscellaneous",580.70299,1163334.996,2.896740079,0.340965755595987,2003.32186338493
"AED",2008,"Q4","United Arab Emirates","1-3  nights","Air","Holiday",676.184982,623978.026,1.352369964,0.340965755595987,922.791902527051
"AED",2008,"Q4","United Arab Emirates","15+  nights","Air","VFR",1018.189996,1249725.014,20.09738922,0.340965755595987,1227.39863769001
"AED",2008,"Q4","United Arab Emirates","8-14 nights","Air","VFR",2837.267935,2652511.82,21.76048064,0.340965755595987,934.882387129927
"AED",2008,"Q4","United Arab Emirates","4-7  nights","Air","Holiday",1329.694003,1424512.997,7.222389936,0.340965755595987,1071.30888293553
"AED",2008,"Q4","United Arab Emirates","4-7  nights","Air","Business",4639.944017,14598427.65,25.34182966,0.340965755595987,3146.25081606884
"AED",2008,"Q4","United Arab Emirates","4-7  nights","Air","VFR",2566.871017,729852.251,8.195359945,0.340965755595987,284.335381936334
"AED",2008,"Q4","United Arab Emirates","1-3  nights","Air","Miscellaneous",567.227006,8508.4,0.567227006,0.340965755595987,14.9999910265203
"AED",2008,"Q4","United Arab Emirates","8-14 nights","Air","Miscellaneous",293.742001,298148.006,2.937419891,0.340965755595987,1014.99957440543
"AED",2008,"Q4","United Arab Emirates","8-14 nights","Air","Holiday",3263.386011,4459341.019,26.81997013,0.340965755595987,1366.47672202086
"AED",2008,"Q4","United Arab Emirates","1-3  nights","Air","VFR",2195.565015,676615.606,5.375559926,0.340965755595987,308.173796438453
"AED",2009,"Q1","United Arab Emirates","1-3  nights","Air","Miscellaneous",1477.611005,1144545.291,3.744249046,1.16825946006387,774.591747846383
"AED",2009,"Q1","United Arab Emirates","15+  nights","Air","VFR",1573.761001,3645167.21,26.68457031,1.16825946006387,2316.21396621456
"AED",2009,"Q1","United Arab Emirates","1-3  nights","Air","Business",2382.287905,1861847.106,5.296252012,1.16825946006387,781.537404480925
"AED",2009,"Q1","United Arab Emirates","4-7  nights","Air","Business",2437.241957,2361052.326,13.96018994,1.16825946006387,968.739406122082
"AED",2009,"Q1","United Arab Emirates","8-14 nights","Air","Business",490.59099,2044941.962,6.332970142,1.16825946006387,4168.32351935367
"AED",2009,"Q1","United Arab Emirates","8-14 nights","Air","VFR",2279.440969,2631918.753,19.33443287,1.16825946006387,1154.63343372065
"AED",2009,"Q1","United Arab Emirates","4-7  nights","Air","Holiday",3033.571959,7698593.326,15.75260109,1.16825946006387,2537.7981567768
"AED",2009,"Q1","United Arab Emirates","15+  nights","Air","Miscellaneous",263.828993,1314560.056,13.30080032,1.16825946006387,4982.6216635713
"AED",2009,"Q1","United Arab Emirates","15+  nights","Air","Business",259.754986,57141.099,7.995950222,1.16825946006387,219.980759098884
"AED",2009,"Q1","United Arab Emirates","1-3  nights","Air","VFR",685.416996,20595.7,1.327895999,1.16825946006387,30.0484232521132
"AED",2009,"Q1","United Arab Emirates","1-3  nights","Air","Study",212.539002,24442,0.212539002,1.16825946006387,115.000069493128
"AED",2009,"Q1","United Arab Emirates","15+  nights","Air","Holiday",323.502988,1859099.984,54.91529846,1.16825946006387,5746.77840069904
"AED",2009,"Q1","United Arab Emirates","1-3  nights","Air","Holiday",1311.562985,1794579.614,2.588851988,1.16825946006387,1368.27558761884
"AED",2009,"Q1","United Arab Emirates","4-7  nights","Air","Miscellaneous",688.153982,651664.011,7.023980141,1.16825946006387,946.974119231355
"AED",2009,"Q1","United Arab Emirates","4-7  nights","Air","VFR",759.813994,193717.13,4.189659953,1.16825946006387,254.953359019076
"AED",2009,"Q1","United Arab Emirates","8-14 nights","Air","Holiday",1529.46502,1090845.278,7.315290034,1.16825946006387,713.220154587125
"AED",2009,"Q2","United Arab Emirates","8-14 nights","Air","Miscellaneous",553.799987,158350.896,7.53986001,0.440153591185134,285.935174642754
"AED",2009,"Q2","United Arab Emirates","4-7  nights","Air","Miscellaneous",557.241976,431881.011,5.05780983,0.440153591185134,775.033162613005
"AED",2009,"Q2","United Arab Emirates","1-3  nights","Air","Miscellaneous",2788.021967,1815690.719,4.33314389,0.440153591185134,651.246920035476
"AED",2009,"Q2","United Arab Emirates","8-14 nights","Air","Holiday",1608.877987,1497839.034,5.68592,0.440153591185134,930.983608516486
